sep=;
Change-Id=Ibc51e9150487066caf588d9b92f26dfa8f426267; subject=net/mlx5_core: Get protected crspace domain size dynamically; feature=mlx5_crdump; upstream_status=NA; general=;
Change-Id=I2a6a02184f19c222f741297eb00f1ac4c25e5283; subject=IB/ipoib: Limit SG feature for system with large pages on CM; feature=ipoib_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=I537e6f3009a05d92e09641d6b589b501f12c78a2; subject=IB/ipoib: Change the default minimum number of completion to return; feature=ipoib_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=I8b5078a58e3a3cd38571509cf756a71c83950a03; subject=IB/ipoib: Workaround for ib_notify_cq silently fail race; feature=ipoib_bugs_in_review; upstream_status=NA; general=;
Change-Id=I2a66d738dd26756214f25590d7d8f1d846bc7784; subject=IB/ipoib: Increase tx timeout value; feature=ipoib_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=Ie7bbe8f07ec99d0f8e798973b2ccbd7e38c1790b; subject=RDMA/mlx5: Fix access to uninitialized esw struct; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Iffcf1120b8ca5984f0c6c78d8f426d4bec919c4d; subject=mlx5: Add sw_owner_v2 to table prop layout struct; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I97d575df0746869cd7e1708a72e58d2dd1125e37; subject=IB/mlx5: Allow DM allocation for sw_owner_v2 enabled devices; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I255cf09447aed18970d03953504da31381116be3; subject=IB/mlx5: Expose TIR and QP ICM address for sw_owner_v2 devices; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I96a7ff2a45bf0450eaa54f5f8274448b5fe329a4; subject=net/mlx5: Don't queue flow counter stats work on fc destroy; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I156542f823f1edbc36d33fee1d3a790ff55da07f; subject=net/mlx5: DR, Set correct attributes on STEv1 insert pointer action; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I1135fac6d3113ec4c149aa555fffef0ce3f7dad7; subject=net/mlx5: DR, Fix STEv1 add and set action length; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I14bc52455bc8b5fa45f96edb08c82971e95e144e; subject=net/mlx5: DR, Set STEv1 correct REGC_2 length; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=If4f844e7323690a02bc0eef49b56dbdedbf9cbe7; subject=net/mlx5: DR, Add missing vhca_id consume from STEv1; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I98eeaa7510bd89ad54ea79b740ac7320601f8bfa; subject=net/mlx5: DR: Fix incorrect matcher size error; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Iaff5f18a8cd953784673efefa811996798a836db; subject=net/mlx5: DR, Fix queue management; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=If4003d0fc8dae1070602d39869f75524d4db5f72; subject=net/mlx5: E-switch, Set SMFS as the default mode for switchdev; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I33aa118673dd9b0ec81510d6de85f5ff98eebdde; subject=net/mlx5: DR, Fix pattern creation value; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I0e1e5b9227dabc1ba645a0cf1082d084c4b180c4; subject=net/mlx5: DR, Extend locked area of pattern create and destroy; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ie06bcb6e9717db5005e189e7cf601106e1f5f30f; subject=net/mlx5: DR, Fix QP continuous allocation; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I6bba2ec01b1c9013084041aadf06ea5189fd3672; subject=net/mlx5: DR, Improve rule tracking memory consumption; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ib541232681c09b83969dd5102d785bd8afeefc11; subject=net/mlx5: DR, Fix incorrect last STE update during rehash; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I0966e75ca3ab0f4b4bef84c95701e7f59a7d228b; subject=net/mlx5: DR, Check new cap for isolated VL TC QP; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=If7459cb34dd86cd295fe4136e248480fef2b4f8e; subject=net/mlx5: DR, Add support for update fte; feature=sw_steering; upstream_status=in_progress; general=;
