sep=;
Change-Id=I870b2863c8fca18facc1767907c261027471a0ad; subject=net/mlx5: Add new phy counter sysfs group; feature=phy_stats_sysfs; upstream_status=NA; general=;
Change-Id=Idb6d82dbb412eddb25a45cdeafb472213d3388a8; subject=net/mlx5: expose sysfs to force local loopback disablement; feature=disable_local_lb; upstream_status=NA; general=;
Change-Id=I26a44bdae6af27222b061917aea473269fea45ed; subject=net/mlx5: Prevent ALLOC_MEMIC command error prints; feature=mlx5_ib_bugs_in_review; upstream_status=NA; general=;
Change-Id=I55abe373fc5bb2930e1145e7746e033d536efd83; subject=net/mlx5: Eswitch, Rate limiting per VF group; feature=vf_group_rate_limit; upstream_status=NA; general=;
Change-Id=I0cb508c96869564054844e9fd0a26c2cf9a01aa7; subject=net/mlx5: VF group code adjustments; feature=vf_group_bw_share; upstream_status=NA; general=;
Change-Id=I9d892e6672f2012fbe1dd2ae90ea2073e9535be4; subject=net/mlx5: Eswitch: Support VF group minimum tx rate; feature=vf_group_bw_share; upstream_status=NA; general=;
Change-Id=Ia2dbfd4ef56a14101617e7dae5d086082e5b8e90; subject=net/mlx5: Eswitch: Round up BW share normalization; feature=vf_group_bw_share; upstream_status=NA; general=;
Change-Id=I9ccf2564d00ab2af0ac216235a9a5852e871c45a; subject=net/mlx5e: Increase nic tc max flow table size; feature=mlx5_en_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=I000416a61310ab58344e6a1986a03f825a0386aa; subject=net/mlx5: Refactor multi chains and prios support; feature=ct_nic_mode; upstream_status=accepted; general=upstream commit ID: ae430332557a, tag: v5.10-rc1;
Change-Id=I2b10bcd93be1c7928b2b644d7d62162146fa4daa; subject=net/mlx5: Allow ft level ignore for nic rx tables; feature=ct_nic_mode; upstream_status=accepted; general=upstream commit ID: 006f623e67ff, tag: v5.10-rc1;
Change-Id=I9fd06918d61f9f1efb079142e0460c1e772f258b; subject=net/mlx5e: Tc nic flows to use mlx5_chains flow tables; feature=ct_nic_mode; upstream_status=accepted; general=upstream commit ID: 6a0646744c48, tag: v5.10-rc1;
Change-Id=Ie535140bea740003d9904a643cbbc768f6d87428; subject=net/mlx5e: Split nic tc flow allocation and creation; feature=ct_nic_mode; upstream_status=accepted; general=upstream commit ID: 08247066b82c, tag: v5.10-rc1;
Change-Id=I072eae4e84b4b8402fa6752059aeb071970e56b3; subject=net/mlx5: Refactor tc flow attributes structure; feature=ct_nic_mode; upstream_status=accepted; general=upstream commit ID: c620b772152b, tag: v5.10-rc1;
Change-Id=I79d4d7146256ccd08494d1a7d85186ead8a14171; subject=net/mlx5e: Add tc chains offload support for nic flows; feature=ct_nic_mode; upstream_status=accepted; general=upstream commit ID: c75690972228, tag: v5.10-rc1;
Change-Id=I39ed11ec16efc60041df471bd74cb249a699d9f6; subject=net/mlx5e: rework ct offload init messages; feature=ct_nic_mode; upstream_status=accepted; general=upstream commit ID: 211a536485f7, tag: v5.10-rc1;
Change-Id=I1e64ed98687c829c8c7695ea702948470a030641; subject=net/mlx5e: Support CT offload for tc nic flows; feature=ct_nic_mode; upstream_status=accepted; general=upstream commit ID: aedd133d17bc, tag: v5.10-rc1;
Change-Id=Ifbc29d3dbc9c8d7314ea3d740946189b551485a2; subject=net/mlx5e: Remove misplaced prints; feature=ct_nic_mode; upstream_status=in_progress; general=;
Change-Id=I8c7e998674e7c1dfd6db2810e7f898c7fe60a197; subject=net/mlx5e: Introduce priority hairpin select api; feature=hairpin_packet_pacing; upstream_status=NA; general=;
Change-Id=I2464d64fa7f66b9ad4d77f34b64dffb23a89a4eb; subject=net/mlx5e: Support action skbedit prio offload; feature=hairpin_packet_pacing; upstream_status=NA; general=;
Change-Id=Ic795de37f93840b09dab09decd53ed8492aa33bb; subject=net/mlx5e: Support packet pacing setting on priority hairpin queues; feature=hairpin_packet_pacing; upstream_status=NA; general=;
Change-Id=Ib0ea7bc86ce942352a6a5172248e8a8de6a9e977; subject=net/mlx5e: Expose sysfs to configure hairpin packet pacing burst size; feature=hairpin_packet_pacing; upstream_status=NA; general=;
Change-Id=I25bfae4eaf2823bd17c68f52a8e316392d92ae53; subject=net/mlx5: Get next phy device based on guid; feature=hairpin_packet_pacing; upstream_status=NA; general=;
Change-Id=I25210f91cc8853f7b2c83ec02e5739c1b9d53072; subject=net/mlx5e: Keep direct reference to mlx5_core_dev in tc ct; feature=ct_nic_mode; upstream_status=accepted; general=upstream commit ID: 670c239a648f, tag: v5.10-rc1;
Change-Id=I418e330a621db7934bb53a171a964d17487c2bd1; subject=net/mlx5: Add ifname paramater to the priority haipin queue setting; feature=ct_nic_mode; upstream_status=NA; general=;
Change-Id=I96f1c1e17c59a181a5f998e9b4391bb3c787def3; subject=net/mlx5: E-Switch, Add ovs internal port mapping to metadata support; feature=internal_port; upstream_status=in_progress; general=;
Change-Id=I2f4b89e7b682d47b6fc8f0e7bd0fbf2744ff6d49; subject=net/mlx5e: Offload tc rules that redirect to ovs internal port; feature=internal_port; upstream_status=in_progress; general=;
Change-Id=I067d9a3ea59d0a4c57403121cf52730803a7f8d7; subject=net/mlx5e: Offload internal port as encap route device; feature=internal_port; upstream_status=in_progress; general=;
Change-Id=I02cb61ba9d2d3b5d566a3ed22b49d11356e893c7; subject=net/mlx5e: Add indirect tc offload of ovs internal port; feature=internal_port; upstream_status=in_progress; general=;
Change-Id=Ic0cf8d4a55dc49a80af1e97ff5cd98ab8bbfbb77; subject=net/mlx5: Support internal port as decap route device; feature=internal_port; upstream_status=in_progress; general=;
Change-Id=Ide28f7bc6a69ab8f8600ffa817540c61632620ff; subject=net/mlx5e: Handle a miss of an internal port packet; feature=internal_port; upstream_status=in_progress; general=;
Change-Id=Ic35c943a977d972a157ce859f60a2c27075e7e6b; subject=Backports fixes; feature=backports; upstream_status=ignore; general=;
