sep=;
Change-Id=I6abaa77ccb76d5abb3c1fa350a59570fe68da68d; subject=IB/mlx5: Fix a panic in mlx5_ib_handle_event; feature=mlx5_ib_bugs_in_review; upstream_status=NA; general=;
Change-Id=I982c052cdec19ae4ed26a775f4a421c587114193; subject=IB/mlx5: Move function mlx5_core_query_ib_ppcnt() to mlx5_ib; feature=mlx5_ib_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=Id2fa7e0fe04395e8b803761cbaae809f97b8b4b3; subject=compat: Free devlink compat using delayed work; feature=mlx5_devlink_sysfs_interface; upstream_status=NA; general=;
Change-Id=I755c899bf0346139d5de65178691d08fc44d8c12; subject=compat: Forbid changing E-Switch mode in parallel; feature=mlx5_devlink_sysfs_interface; upstream_status=NA; general=;
Change-Id=I6e7e2564cb26ebf0ddab37cb1847da3740519e79; subject=net/mlx5: Eswitch, Fix a panic when changing to legacy mode; feature=mlx5_devlink_sysfs_interface; upstream_status=NA; general=;
Change-Id=I2eb53260d3802a82cd361bebb23f4f2081aebcfd; subject=net/mlx5e: Dealloc all invalid encap_id at last; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I226b8d81288422675d24f834119ce4900d8270e8; subject=rdma.m4: Check if ip_tunnel_info_opts_set has 4 params; feature=backports; upstream_status=ignore; general=;
Change-Id=I469dfa9d4beb747637f827045529556d54486d7c; subject=ofed_scripts: Set CONFIG_MLX5_TC_SAMPLE; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I54c69d62e95f86ff770db53f361be513f397722d; subject=net/mlx5: Add sample offload hardware bits and structures; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: 2a2970891647, tag: v5.11-rc1;
Change-Id=I3b52337932d5c9969d5dd9b1c6bdc13532475287; subject=net/mlx5: Add sampler destination type; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: 38730630880c, tag: v5.11-rc1;
Change-Id=I147cb7d2469774626ba954a27104fd855bc6b76f; subject=net/mlx5: E-switch, Move vport table functions to a new file; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I62bf9a966fdf0731f096fb5573f3350cf2419b90; subject=net/mlx5: E-switch, Generalize per vport table API; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Id4959954b01f72056da81366a35dfa77f576ce48; subject=net/mlx5: E-switch, Set per vport table default group number; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Iadd90fd222e243beb6558316a47d8d44fb1cca99; subject=net/mlx5: Map register values to restore objects; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Ie7037796fc99e070f3d6d6085eba90f78a5e5dbb; subject=net/mlx5: Instantiate separate mapping objects for FDB and NIC tables; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I9307d15b3cc8d5e65987cb509c59ebeb53360c4d; subject=net/mlx5e: TC, Parse sample action; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I946e7797d3512065a1eb4352d18c20104fb1b243; subject=net/mlx5e: TC, Add sampler termination table API; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Ia320a1e892e9cd16385eb4435c0cf76cdbc37802; subject=net/mlx5e: TC, Add sampler object API; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I9281d0527bf15f4ac8262dee4e108b82d9d7cce4; subject=net/mlx5e: TC, Handle sampled packets; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Idad81ba2bdb46197ee8d36bc1b766d85394d9ea7; subject=net/mlx5e: TC, Add support to offload sample action; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I9b63c6ef598dc2a2ae0650926641b06412496038; subject=net/mlx5e: TC, Use new API to set register value; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I4c32b23ea2973c441f57145a6d52d887a64513a2; subject=net/mlx5e: TC, Restore tunnel info for sample offload; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I78d65b9faeda2a89e294584ecdf206ea7b0ed174; subject=net/mlx5: Instantiate separate fteid mapping for FDB and NIC tables; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Iaa2e4bedf455f7bde8a52c773e0243cef03dee32; subject=net/mlx5e: TC, Get fteid for sample flow; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I3b15c52dc730632ebd34cbcafdd363b96635e3df; subject=net/mlx5e: TC, Match fteid for sample and decap action; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I7049e50d17b0c58579157c260d7ab13c0379e366; subject=net/mlx5e: TC, Fix sampler termination table not support issue; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I3c7c03cbe635acccddf381083f0919fbb9db1b13; subject=rdma.m4: Check if struct fib_notifier_info has member family; feature=backports; upstream_status=ignore; general=;
Change-Id=Id05018131c362d5d9db8fe1ff024515c79b8c544; subject=net/mlx5e: Fix ip_version for CT over IPv6 tunnel; feature=stack_devices; upstream_status=in_progress; general=;
Change-Id=Ied948fa382bc928fe1b03243635ea579a5f45fb6; subject=compat: Add sample offload support for rhel 7.8; feature=backports; upstream_status=ignore; general=;
Change-Id=Ibbb220f058ace5869b2578a877793d3bafb3c249; subject=net/mlx5e: Check if uplink rep is NULL when getting route; feature=mlx5_asap_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=I4de25326f0721fd5a185ac94ccd3a808ff84911d; subject=BACKPORTS: Fix show phys_port_name issue for old kernel; feature=backports; upstream_status=ignore; general=;
Change-Id=Ic35ae6c88af4c39bac214ca4a9dfa93a89e36473; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I54d475524023c1e696cbf2fed503860f6567751d; subject=net/mlx5e: Fix error handling when failed to change profile; feature=uplink_rep_redesign; upstream_status=ignore; general=;
Change-Id=I28f9d17b77c29184a62ae84b2dbea70735d6e552; subject=BACKPORTS: Fix net/mlx5e: Fix error handling when failed to change profile; feature=backports; upstream_status=ignore; general=;
Change-Id=I96a60551bee711452bbc0d2e7adfc68016c2579e; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I29316f87d6981551a5f2c2e16638e3f7add3265d; subject=net/mlx5e: Fix error flow in change profile; feature=uplink_rep_redesign; upstream_status=ignore; general=;
Change-Id=I8a0666a7ed4ab071e0fc8b99273b114a82b2a30d; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
