sep=;
Change-Id=I135df2871523ed19fd62c84bca56d440368f5ea6; subject=net/mlx5e: Disbale SKPRIO<->UP mapping from sysfs; feature=mlx5_sysfs_ecn_mstdump; upstream_status=NA; general=;
Change-Id=I5a2e1f314e58addb58eb700b5ba87c61b4615242; subject=net/mlx5e: Fix warning of -Wmaybe-uninitialized in add_ethtool_flow_rule; feature=mlx5e_fixes_4.10; upstream_status=NA; general=;
Change-Id=Ie1419ce13eb023de6c81bb6e92338df9f82dff64; subject=net/mlx5e: Set uninitialized variable in mlx5e_modify_tirs_lro; feature=gcc_warn_fix; upstream_status=NA; general=;
Change-Id=I068df716e900b1c0b083cfcdbe75e9c4b1a3940f; subject=net/mlx5_core: Fix wrong print of SW struct address instead of FW page address; feature=mlx5_en_bugs_decided_to_submit; upstream_status=in_progress; general=;
Change-Id=I790b4a415d2870a06f4e594363590bbf6c600d48; subject=net/mlx5e: Enlarge TX inline header size in case of IP mode to include IPv4/IPv6 header; feature=mlx5_en_bugs_old_kernel; upstream_status=NA; general=;
Change-Id=Iabf5ecbe2a0b851adddc032e0c2abae924b16e2c; subject=net/mlx5e: Add min/max checks for old kernels; feature=mlx5e_min_max_check_for_old_kernels; upstream_status=NA; general=;
Change-Id=I36835c4f96d9515d7529dc1df82c82de2cac1027; subject=net/mlx5: Rename ptp clock info; feature=cyc2time_offload; upstream_status=accepted; general=upstream commit ID: aac2df7f022e, tag: v5.10-rc1;
Change-Id=I93ee14020923ec0af66622897f739e5263b619c2; subject=net/mlx5: Release clock lock before scheduling a PPS work; feature=cyc2time_offload; upstream_status=accepted; general=upstream commit ID: 87f3495cbe8d, tag: v5.10-rc1;
Change-Id=I30a64aff49ab54c8d7c26fdf0273cf1faf88f3e8; subject=net/mlx5: Add structure layout and defines for MTUTC register; feature=cyc2time_offload; upstream_status=accepted; general=upstream commit ID: ae02d41551d6, tag: v5.12-rc1;
Change-Id=I9c9b25ffdef2d6c6a61ee3e736bea8984fee9967; subject=net/mlx5: Add cyc2time callback to mlx5 clock; feature=cyc2time_offload; upstream_status=accepted; general=upstream commit ID: d6f3dc8f509c, tag: v5.12-rc1;
Change-Id=I2189690f45570350aab53a3fb62d6df2ae07a300; subject=net/mlx5: Refactor init clock function; feature=cyc2time_offload; upstream_status=accepted; general=upstream commit ID: 9f9d102cf49d, tag: v5.12-rc1;
Change-Id=I85c96c0d11dc21edb19e24cfae992e294586d921; subject=net/mlx5: Refactor PCIe bar HCA clock read function; feature=cyc2time_offload; upstream_status=accepted; general=upstream commit ID: 9f9d102cf49d, tag: v5.12-rc1;
Change-Id=Ie9221934763a0b041aea98cdf444aa4eff59a3f2; subject=net/mlx5: Move some pps logic into helper functions; feature=cyc2time_offload; upstream_status=accepted; general=upstream commit ID: de19cd6cc977, tag: v5.12-rc1;
Change-Id=I51cdf2bd2de149fcb4392b517f6e8e828232b057; subject=net/mlx5: Add cyc2time offload support; feature=cyc2time_offload; upstream_status=accepted; general=upstream commit ID: 432119de33d9, tag: v5.12-rc1;
Change-Id=If888bac2fca74f8ef0f5f78d167385f1063b1b05; subject=net/mlx5: Fix a race when moving command interface to polling mode; feature=mlx5_core_bugs; upstream_status=accepted; general=upstream commit ID: 432161ea26d6, tag: v5.9;
