sep=;
Change-Id=Ia44e88efbf1c1032dc2e36fc29e2e7077d17e6d3; subject=IB/IPoIB: Detach the neigh gc time from the system gc time; feature=ipoib_neigh_time; upstream_status=in_progress; general=;
Change-Id=I490e5d1568d42e9ea1ed0b6edb6c267da35a4316; subject=net/mlx5_core: Export some pci functions and variables; feature=mlx5_crdump; upstream_status=NA; general=;
Change-Id=I7e09d00d70a6274b44c7966555755fbc742a5add; subject=net/mlx5_core: Introduce crdump utility for FW debug; feature=mlx5_crdump; upstream_status=NA; general=;
Change-Id=I7bf33b26c5b2674403eef3ef095c44fb7b956a04; subject=IB/ipoib: Fix possible deadlock over send queue; feature=ipoib_napi_tx; upstream_status=in_progress; general=;
Change-Id=I265e2ff4ba3e336eb7ef753bb6810103639b2cc4; subject=IB/ipoib: Fix race in the TX flow at CM mode; feature=ipoib_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=I80a022065d6a414e21b5c97a232a336179d84071; subject=IB/ipoib: fix bug in handling resv/send ring; feature=ipoib_bugs_in_review; upstream_status=NA; general=;
Change-Id=I53fa15bab33ff473c9b92e8c8ae50ba8304222ac; subject=IB/ipoib: Add retries to ipoib_cm_tx_destroy func; feature=ipoib_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=Ibd031c48053385f08ddae7e69746f5ad20d589d2; subject=IB/ipoib: Calculate TX CM destroy retries correctly; feature=ipoib_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=I408e6eec1b560ffe4cfdf1d80b268956c1b6504f; subject=IB/ipoib: Force CQ drain when destroying tx; feature=ipoib_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=I95a6798090e49419f29c9791181cc1ccbe63bd9a; subject=IB/ipoib: Fix possible race between start_xmit to path_rec_completion; feature=ipoib_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=I763134bb9beb7d2a702833f43e7d690bf25acb66; subject=net/mlx5: DR, Print actions sequence in case of error; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ie3f0b5155ca0b7957033cfdd177c3d2074365bcd; subject=net/mlx5: DR, more prints over actions sequence in case of error; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ib6b834134ce8839595f1813945fb03a8a5d02a8b; subject=mlx5: DR, Avoid calling CQ completion if doesn't exist; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Id4cea0b1746b112dcf25e8421da7a0b45f346e9c; subject=net/mlx5: DR, Release ICM memory when it is not used; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I71dcd6cbcde62e9dd199301e8f9b06cdd516ef25; subject=net/mlx5: Introduce header-modify-pattern icm properties; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I6f27d9aa9ec6bffb6f844b8121fe54a5360d1aa4; subject=RDMA/mlx5: Support handling of modify-header pattern ICM area; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I87c2b5a870dcb5f8279f986e821013df7c1aba7e; subject=net/mlx5: manage ICM from type modify-header pattern; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=If899806ae8014087a2dad902d5e9bcb26a932450; subject={IB,net}/mlx5: Support new type of ICM memory to register by MR; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I80bd3906b3c62b009babe1078ebf2a6f34d72867; subject=net/mlx5: DR, Fix memory leak while releasing pattern; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I4d2fd9afd18072e3d7c1d368bde4ec2862688435; subject=net/mlx5: DR, Read ICM memory into dedicated buffer; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Id6a161b9ee2e5656e6350f03d7bbe8acc24ee603; subject=net/mlx5e: Use the correct checksum field for IPoIB; feature=ipoib_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=I651aca61686ce918c01d345dd3dc73931294768e; subject=net/mlx5: DR, Separate reformat state to Encap and Decap; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ifd10cbe581b6f47b30104625f1328853a3a38a77; subject=net/mlx5: DR, Allow encap action for RX for supporting devices; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I6c139e028d8bbbbafa619ccf91bb4349267ee5c9; subject=IB/ipoib: Fix a deadlock in mcast_join_task function; feature=ipoib_bugs_in_review; upstream_status=in_progress; general=;
