sep=;
Change-Id=I8f3c5249bb37104f7c0fa49ec90e5c7092c4da22; subject=IB/mlx5: Fix compilation warning in qpn_id_handle; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I713f3b58610871980cf7e44285661c416ea5a39a; subject=IB/ipoib: Set ring size to default if module param was set incorrectly; feature=ethtool_ring_size_param; upstream_status=in_progress; general=;
Change-Id=I698aa5f694bebf6b27a9ba350f0cfe9a357c5471; subject=IB/ipoib: Add support to ethtool get/set ring size param; feature=ethtool_ring_size_param; upstream_status=in_progress; general=;
Change-Id=I81c2bce8e92a05a6bb2e4c33d0ce534a467a01de; subject=IB/ipoib: Set device address using sysfs instead of ndo; feature=ipoib_bonding; upstream_status=NA; general=;
Change-Id=I4d1abb84a039098a8e4f6d80c96cb0ac67703314; subject=IB/ipoib: Add inline/blue-flame support; feature=ipoib_inline; upstream_status=in_progress; general=;
Change-Id=If004b9cab8114f0430ec58bed9c9a5b51885c2f5; subject=IB/ipoib: Add ipoib_enhanced module parameter; feature=ipoib_offloads_bugs_in_review; upstream_status=NA; general=;
Change-Id=I1d6dca7220af4c4da428c8df7c05b52c893ed4e4; subject=net/mlx5e: Add support for drop-less RQ; feature=mlx5_dropless_rq; upstream_status=in_progress; general=;
Change-Id=I5886505ae3288bdaed732c6a84143e9ce9f9d1e7; subject=mlx5/core: Remove free IRQs from the fast shutdown call; feature=mlx5_fast_driver_unload; upstream_status=in_progress; general=;
Change-Id=Ib235ff4fe51b199e31be5997ec5a85235a89164f; subject=mlx5/core: Return success if device state is internal error; feature=mlx5_fast_driver_unload; upstream_status=in_progress; general=;
Change-Id=I6c1e4c9902db6199d868ba698d22e0a37d38f5bc; subject=mlx5/core: Use fast teardown in the driver remove flow; feature=mlx5_fast_driver_unload; upstream_status=in_progress; general=;
Change-Id=I3f19eb80d26bf96ccdd9cfdc71a943920f95b522; subject=net/mlx5: Fix tracer frame size compilation error; feature=mlx5_tracer; upstream_status=in_progress; general=;
Change-Id=I01df6ba0ce30ebde87e7677ecdf477d9a69ecc91; subject=IB/ipoib: Fix operation state race between stop and light flush; feature=ipoib_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=I1901b582e61a076417d327f8059eda25893024cb; subject=mlx5/core: Lower fast/force teardown error verbosity; feature=mlx5_core_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=If9957aa0ea90a60564dbc06af4b3b696e2ee8158; subject=mlx5/core: Properly free SRIOV VFs RoCE sysfs; feature=mlx5_core_bugs; upstream_status=NA; general=;
Change-Id=I86007024da099fdc71b6fb05b1635dd290cf4958; subject=mlx5/core: Initialize VF data correctly in init flow; feature=mlx5_core_bugs_in_review; upstream_status=NA; general=;
Change-Id=I1d77f52d56aec2c79e6b9d9ec1096e83a95155cd; subject=RDMA/core: Introduce peer memory interface; feature=peer_direct; upstream_status=rejected; general=;
Change-Id=Icc37a05ddbfd95f5930f423ad4a9aa9716cccd36; subject=IB/mlx5: Add ATS support for peer memory; feature=ATS; upstream_status=NA; general=;
Change-Id=I0aca0040b53e9ed14868b524ba2a24ed5b7f9881; subject=RDMA/core: Increment num_free_callbacks for each peer invalidate; feature=peer_direct; upstream_status=rejected; general=;
Change-Id=I345482a6a7da506d3202a4b4da3b90793f58e3c3; subject=RDMA/mlx5: Assign dev to DM MR; feature=mlx5_ib_bugs; upstream_status=accepted; general=upstream commit ID: ca991a7d14d4, tag: v5.11-rc1;
Change-Id=I2388875314388476b0f6f67b3d5c127dfd7ea7b2; subject=net/mlx5e: Fix refcount leak on kTLS RX resync; feature=ktls; upstream_status=accepted; general=upstream commit ID: ea6360985732, tag: v5.10-rc5;
Change-Id=Id950855d7ec13b495bd2946dd1e79435088b8c82; subject=net/mlx5: Expose uplink follow capability bit; feature=mlx5_en_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=I7994ecfbb690428300d2759a33729c6a1514c090; subject=net/mlx5e: Set eswitch uplink admin-state only if follow is supported; feature=mlx5_en_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=Id025a971066c57fca411dfc6b2a32c7688957528; subject=RDMA/mlx5: Use the correct obj_id upon DEVX TIR creation; feature=devx; upstream_status=accepted; general=upstream commit ID: 8798e4ad0abe, tag: v5.12-rc1;
Change-Id=Iba269e5f44aebd379b54b35b35f351a565a1186f; subject=BACKPORTS: Re add rdma_nl_init to ib_core_init; feature=backports; upstream_status=ignore; general=;
Change-Id=Ibf0c4e0fbb6b00743ba78023848985123ad4843b; subject=memtrack: Ignore mdev kfree for unknown address; feature=memtrack_bugs; upstream_status=ignore; general=;
