sep=;
Change-Id=Ic1831de3c1851d16d531e52836aed07c45308cac; subject=net/mlx5: Add command to control virtual function's roce; feature=mlx5_vf_roce_cmd; upstream_status=NA; general=;
Change-Id=I97162679bd3e23257f7cf7230d1f79eec52f1814; subject=net/mlx5: sysfs for vf roce control interface; feature=mlx5_vf_roce_sysfs; upstream_status=NA; general=;
Change-Id=Ifdd5fc28ae651bbc3bb83eb2cdd6d3b9513fa77e; subject=net/mlx5e: Only expose vf_roce sysfs on PF; feature=mlx5_vf_roce_for_pf_only; upstream_status=NA; general=;
Change-Id=Ic083e1661e502be815d7af9babbf523328041a68; subject=net/mlx5e: sysfs for priority2buffer and buffer size; feature=mlx5e_rx_buffer_sysfs; upstream_status=NA; general=;
Change-Id=If9328d2cc441096d597f56e0f0f03dda3f65b992; subject=net/mlx5e: display receive buffer's xoff/xon_threshold; feature=mlx5e_rx_buffer_sysfs; upstream_status=NA; general=;
Change-Id=I3e8a074cc4dd3e2fad1d9c0501efd35bfb76333e; subject=net/mlx5e: Set number of tc to eight when trust state is dscp; feature=mlx5e_dscp2prio; upstream_status=NA; general=;
Change-Id=I56e1c89edd14027ca03695e8bcc9bb764d1b1e41; subject=net/mlx5: as_notify Add initialization/cleanup flow; feature=ibm_as_notify; upstream_status=NA; general=;
Change-Id=Ia7129ee0aa9512cc36ea801b9feb1757838572bd; subject=net/mlx5: set as_match_value for tunnel atomics; feature=ibm_as_notify; upstream_status=NA; general=;
Change-Id=I78706b05f503a16805200ad6c2dc6fc80821fcb3; subject=IB/mlx5: as_notify Implement a backup for as_notify failure; feature=ibm_as_notify; upstream_status=NA; general=;
Change-Id=I1049ba739c4420eb3c5124e9708e04b89c6cb7de; subject=mlx5/core: debug/diag counter firmware command; feature=mlx5_diag_cnt; upstream_status=in_progress; general=;
Change-Id=I35bc06b8061260ca824c032c90101c29f708c1cb; subject=net/mlx5e: Add vf tx multicast and broadcast counters; feature=mlx5_vf_mc_bc_disp; upstream_status=in_progress; general=;
Change-Id=Iacb5eb9710ec83597c20225ee9578fd96fc8780e; subject=net/mlx5e: Set dma_info->page to NULL when free page in striding rq; feature=mlx5_en_bugs_in_review; upstream_status=NA; general=;
Change-Id=Ie353f61edd87293cbc8f0641f2bf7b5ab95384f2; subject=net/mlx5: E-Switch, EEH for vport's steering rules.; feature=mlx5_core_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=Ia8de00f2100f7e7c99cb991e61777a1883da6cf3; subject=net/mlx5: Add NIC TX domain namespace; feature=mlx5_ipsec; upstream_status=accepted; general=upstream commit ID: ee92e4f1f95e, tag: v5.10-rc1;
Change-Id=Ifc6f2eef74e9802eff88e05c0ea33d4d9830f729; subject=net/mlx5e: IPsec: Add TX steering rule per IPsec state; feature=mlx5_ipsec; upstream_status=accepted; general=upstream commit ID: 9b9d454ddbf0, tag: v5.10-rc1;
Change-Id=I4cd9b17491137a5f6421f1ff80d5164875c4f3b9; subject=net/mlx5: Eswitch/IPsec: Add flow source of non-uplink source vport; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=I378851190e4057b12725e0b05516746d1d87ced6; subject=net/mlx5: Add the correct ipsec_full_offload full offload check; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=I72f9a1d4e84c88e9bd2b5e9f143aa4fe83bbdd65; subject=net/mlx5: Remove redudant field in mlx5_ifc_ipsec_aso_bits; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=If78289c5fdf7eab0fca036693965de3afaa065bc; subject=net/mlx5: Add ASO WQE framework; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=Ibc7c7d7d23a4c65002d8d3ebd4f8aba99993ada7; subject=net/mlx5: Add ASO resource initialization/cleanup; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=I6b6bf741929995c1e2033de6b236487065088789; subject=net/mlx5: IPsec add sadb database for tx rules; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=I2435ad4c0b30ff72c8d9c9ffbf808ea46ae3809e; subject=net/mlx5: IPsec set pdn field for full offload ipsec object for aso_access; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=Ic5efaec041903bffe23776fe86981d67eaa47eb6; subject=net/mlx5: Add support for object change asynchronous event; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=I13c3ff1814edaba0b99454447512196e6e7511c4; subject=net/mlx5: IPsec Add soft and hard packet limit configuration; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=If3c90099a650d5e4ff829763257d241d2bc898b7; subject=net/mlx5: IPsec Add ESN support for full offload; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=If8c8e32da3f419b9468e71ebe0a5eb041dee1a78; subject=net/mlx5: IPsec full offload add replay window protection support; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=I0ecfe630d4490f21fb207ca4f1a5fa53892f9e3c; subject=net/mlx5: IPsec cleanup error flow; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=I613bdc222fd153830fafa0c1cd72d6c7ac50a336; subject=net/mlx5: IPsec add flow_counter for IPsec rules; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=If264bed57385017b539a1fadddb12f87e2f2066f; subject=net/mlx5: IPsec full offload statistics; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=I0ef4154341156e0b8080ec3cd045da3609271697; subject=net/mlx5: IPsec fix IPsec modify object; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=Ie74197a3fc1515862e4de32365d49102383253c4; subject=backport: Fix build errors; feature=backports; upstream_status=NA; general=;
Change-Id=Ib286a183ba78e485ed4640c20e616a1119ac6879; subject=configure: Fix build error on 4.12.14-195-default; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I39e57db3f5799f98afb16c06d7b66216bc5a507a; subject=net/mlx5: IPsec add support ISAKMP packet; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=I247b9287ef394b39d7d9dc6fb8c1831cfe94afad; subject=backport: fix build error on base code; feature=mlx5_ipsec_full; upstream_status=NA; general=;
Change-Id=I7795b7e5f38eea81e14b7ba6e30552a73d730da1; subject=ofed_scripts: fix IPsec build flag; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I7e0fd470dc1492ad05724fcc4421921e370cad01; subject=net/mlx5: IPsec full: Fix null pointer when destination is not vport; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=Ib760b2942683a7940ac2f5820cc8dfa3cb034166; subject=net/mlx5e: IPsec remove lifetime time check; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=Iabe3dd983952955d8fbf1307fd8a8184a44d2d91; subject=net/mlx5e: IPsec/esw: merge_eswitch consideration; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=I3c9660e7b92e6bbb038afad123baabd358d3c994; subject=net/mlx5e: Fix crash in ipsec_stats; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=I951bf753ff46f294068b9ecbe403d6015647e6eb; subject=net/mlx5e: Set IPsec WAs only in IP's non checksum partial case.; feature=rebase; upstream_status=accepted; general=tag: 5.10-rc7;
Change-Id=Ie75b0e9dae6c764b6aacbf3ea0628e65780f8f0f; subject=net/mlx5e: Fix IPsec packet drop by mlx5e_tc_update_skb; feature=mlx5_ipsec; upstream_status=accepted; general=tag: 5.10-rc7;
Change-Id=If63f58227b4d0583a20af8b549b47a1f277c31cd; subject=net/mlx5e: TC: Reserved bit 31 of REG_C1 for IPsec full offload; feature=mlx5_ipsec; upstream_status=in_progress; general=;
Change-Id=I422f1a5b99276e8320dd2c99e74f932f54bf35b2; subject=net/mlx5e: IPsec/rep_tc: Fix rep_tc_update_skb drops IPsec packet; feature=mlx5_ipsec; upstream_status=in_progress; general=;
Change-Id=Id4b3dda8218d7e2fb5e4419fb649e521c38e114b; subject=net/mlx5e: IPsec fix bugs in rcu locking; feature=mlx5_ipsec; upstream_status=in_progress; general=;
Change-Id=Ib2dd0972115eb98736b29fd1a053519111e0fa4c; subject=net/mlx5: lag/esw Fix SMFS QP no completion with LAG.; feature=mlx5_core_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=Idabcf56b4c1e2c34ddf20c1b909a42fd0fe0f51f; subject=net/mlx5e: IPsec offload cleanup during esw sriov mode change; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=Iba0a220d2f16b2044090c23480f88cdb6c49e895; subject=net/mlx5e: Fix ipsec full offload stats; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
