sep=;
Change-Id=Id2f467034ec3efc5337486b6a2e422bf33027cd0; subject=nvme: Add disk removal flow with offload; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I17252f43c80ebe06920acc55577666669a46b653; subject=nvmet: Create/Destroy backend controller when enable/disable offload namespace; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ie68e1741f8d98dff6e317eb5f6ff2d5159bb9274; subject=nvmet: Replace pci_device_path with subsystem offload attribute; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I755ce9611f42575ecaeb48127162ea2717b1cfdf; subject=nvmet: Don't allow to enable many namespaces on offloaded subsystem; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Iafbe07cfe6d72ecd402edd70226a93293ec2d1f0; subject=nvmet: Add support for changing subsystem attr_offload with enabled namespace; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ie587b101179affdac0539b8194fe0e05518ea514; subject=nvmet: Add fabrics ops to port; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I8d1e2cd6b771417fd2bbffb0ffddb821d27741b4; subject=nvmet: Add port transport active flag; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Icb17433029f71bc68a4d541bfaffbc9b4c8a1409; subject=nvmet-rdma: Destroy XRQ when destroying the rdma_cm id; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ia3eaace0074d8d26b594c5b660c3dc1627a84683; subject=nvmet-rdma: Use nvmet port private data properly with offload; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I701102a395eea743fec7c0653be32ba85ee30201; subject=nvmet: Fix XRQ teardown flow; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I0fc6a413dbce2f38c373fb414b968521c1f7879e; subject=nvmet: Fix write zeroes support with offload; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I9e67ca6c2f0b0ec5c7fbb6dc3855ad5e64fbaf27; subject=nvme-pci: Introduce nvme_find_ns_id_from_bdev function; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I9f49568730b2747dec3b895f1dd49cca510305d7; subject=nvmet-rdma: Add support for offload backend namespace id other than 1; feature=nvmf_offload; upstream_status=in_progress; general=;
