sep=;
Change-Id=I2db74c29613a7a9f1856617784c1e09bfbc62bb3; subject=mlx5/core: Disable rate limit queues on VF representors; feature=mlx5e_pp_special_queue; upstream_status=NA; general=;
Change-Id=I191dcc3faa912b587f1cdce51df86b79cf1b8847; subject=net/mlx5: E-Switch, Allocate unique match id for each vport; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Ied16b91940ab666ef31708f5efff2fd4ae5895ff; subject=net/mlx5e: Add ecn sysfs for PF in switchdev mode; feature=mlx5_asap; upstream_status=NA; general=;
Change-Id=Ic8989c1966b4effbc69467965a64c488db713406; subject=net/mlx5e: E-Switch, Offload all chain 0 priorities when modify header and forward action is not supported; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: 9a99c8f1253a, tag: v5.12-rc1;
Change-Id=I7c058cbd6f2db8c677e02097aed454e7b1297903; subject=net/mlx5e: Fix memory leak of tunnel info when rule under multipath not ready; feature=mlx5_asap_bugs; upstream_status=accepted; general=upstream commit ID: 12a240a41427, tag: v5.9-rc7;
Change-Id=I47b20687f48bfa3ba23144e3769f92b03c01c01f; subject=net/mlx5e: Clear fib info pointer for multipath when LAG deactivated; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I264763b96cc63d077be8153a2b46cd2a055d2d0f; subject=net/mlx5: Add IFC bits and enums for flow meter; feature=vf_metering; upstream_status=NA; general=;
Change-Id=Ie1884a4a5fe2e2fdb90dc44bc2a46fe08c227530; subject=net/mlx5e: Add sysfs for rate limiting per VF; feature=vf_metering; upstream_status=NA; general=;
Change-Id=I5f19bd96ff33e8081f665fafcb2192b2f8ce36a5; subject=net/mlx5e: Move ipsec related aso code into separate file; feature=vf_metering; upstream_status=NA; general=;
Change-Id=I6925002b12c3c53e896c990d2ab24e54ac1b6c5b; subject=net/mlx5e: Add support for flow meter aso object; feature=vf_metering; upstream_status=NA; general=;
Change-Id=Ie10556fce2d8952710dbdb6dea59c942e74a9caa; subject=net/mlx5: Enable FWD_NEXT_PRIO action for ingress and egress ACL; feature=vf_metering; upstream_status=NA; general=;
Change-Id=Iee5f113690a7307ab8ae992314565f593fed6425; subject=net/mlx5, E-Switch, Prepare VF metering for ingress ACL; feature=vf_metering; upstream_status=NA; general=;
Change-Id=I0ee361dacaeba04b584052fc889694c5313cfa07; subject=net/mlx5, E-Switch, Prepare VF metering for egress ACL; feature=vf_metering; upstream_status=NA; general=;
Change-Id=I76f05cc33779e9e6a3e2769f5a982d45017c2fbc; subject=net/mlx5: Add support EXE_ASO for flow entry; feature=vf_metering; upstream_status=NA; general=;
Change-Id=Ia6a6eadd0d3aa97f6bfad7f295c8bb5d4797e6a0; subject=net/mlx5, E-Switch, Add support for VF metering; feature=vf_metering; upstream_status=NA; general=;
Change-Id=I3db34c6ce1053dc60955534f87a78838ef2aaf13; subject=BACKPORTS: Fix backports for vf metering; feature=backports; upstream_status=ignore; general=;
Change-Id=I541fb89c459005eb3c697eb4783d8bb3053cf863; subject=net/mlx5, E-Switch, Move ingress and egress acl tables to last prio; feature=vf_metering; upstream_status=NA; general=;
Change-Id=If9fb7effed8a922561d0288cb265533454715c76; subject=net/mlx5e: Destroy meter tables when disable vf vports; feature=vf_metering; upstream_status=NA; general=;
Change-Id=Ife201ab7549b0a9ac9741c9764f8c9f3d5d812f3; subject=net/mlx5e: Add counters to the stats when vf meter is destroyed; feature=vf_metering; upstream_status=NA; general=;
Change-Id=Ic47f316a1ebcf471c6133d28f2ae5317c329030a; subject=net/mlx5, E-Switch, Match on two LSB of packet color; feature=vf_metering; upstream_status=NA; general=;
