sep=;
Change-Id=I3ebdbb4fd8f287d13ad051d8cd0b5f870e7417f3; subject=net/mlx5e: Enable by default per channel stats reporting on uplink rep; feature=mlx5e_counter_groups; upstream_status=NA; general=;
Change-Id=I1db64c9a4ec56433deb29bc4e9d03b0362ed52e8; subject=compat: update eswitch_devlink_compat.c to contain all backport; feature=backports; upstream_status=ignore; general=;
Change-Id=I323a1f7827385ab4749a9db6eb93eadd443226b0; subject=compat: enable SW steering sysfs; feature=asap_compat; upstream_status=NA; general=;
Change-Id=I56099d9bb7f22a2e0e6d5a3f21769fa3e7121e4c; subject=compat: Initialize devlink sysfs.; feature=mlx5_devlink_sysfs_interface; upstream_status=NA; general=;
Change-Id=Id2b412cb60243f052a95fb593d0d72d69307d882; subject=BACKPORTS: ASAP backports; feature=backports; upstream_status=ignore; general=;
Change-Id=I8a000750f3aa157ae88c180baaff3d37b2146f64; subject=BACKPORTS: fix asap backports; feature=backports; upstream_status=ignore; general=;
Change-Id=Ib86c0a10786983d19542d9cb153316e654110ef0; subject=compat: set HAVE_TC_INDR_API if struct flow_block_indr exist; feature=backports; upstream_status=ignore; general=;
Change-Id=I66c2a48e83c5bff2c10b86a1abf524ca0705dcfa; subject=rdma.m4: fix typo; feature=backports; upstream_status=ignore; general=;
Change-Id=Ifb4ccbf339c91db5aab52b1aa6fbc01d6cab6cee; subject=net/mlx5e: Fix endianness when calculating pedit mask first bit; feature=rebase; upstream_status=accepted; general=tag: v5.9;
Change-Id=I92a633462fc7fe7e7d85b8926bf0913fd2a1b851; subject=net/mlx5e: CT, Fix coverity issue; feature=rebase; upstream_status=accepted; general=tag: v5.9;
Change-Id=I9234e3b95d88395db4375727d261d4e01de789f7; subject=net/mlx5e: Enable adding peer miss rules only if merged eswitch is supported; feature=rebase; upstream_status=accepted; general=tag: v5.9;
Change-Id=I4232276a637aea771705aa05282362a1d5bff924; subject=net/mlx5e: Disable ntuple-filters for uplink rep; feature=mlx5_asap_bugs; upstream_status=ignore; general=;
Change-Id=If414e29feff8a7e2185979d1a4148905a0375d8c; subject=rdma.m4: Check if net/psample.h exists; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I3256f223316900ecfa320ed34716207dd351a445; subject=net/mlx5e: Fix check if netdev is bond slave; feature=mlx5_asap_bugs; upstream_status=accepted; general=upstream commit ID: 219b3267ca10, tag: v5.10-rc5;
Change-Id=Id795d11194569e93dcca8c257c8e4fef6605750a; subject=net/mlx5e: In skb build skip setting mark in switchdev mode; feature=mlx5_asap_bugs; upstream_status=accepted; general=upstream commit ID: e13ed0ac064d, tag: v5.11-rc3;
Change-Id=I48972959b1d47ea65b549e6baacca1ede659d4a8; subject=net/mlx5e: lower internal offload print level to debug; feature=internal_port; upstream_status=in_progress; general=;
Change-Id=I9ee189cdded1910a6467081a64216513724ac3d1; subject=net/mlx5e: Add check if device is null on parse ingress action; feature=internal_port; upstream_status=in_progress; general=;
Change-Id=I433c8f261f03d708cf3a57cc685d1df2c9e7b8f4; subject=net/mlx5: Add check if rx_rule is valid on put internal port; feature=internal_port; upstream_status=in_progress; general=;
Change-Id=Ic18eecab46c9ba9faef41f2d39f29adf9777003c; subject=net/mlx5e: Fix modify header actions memory leak; feature=rebase; upstream_status=accepted; general=tag: 5.10-rc7;
Change-Id=I595483f49342cb3ab318c4ddcc396af1c225c281; subject=net/mlx5e: Release skb in case of failure in tc update skb; feature=mlx5_asap_bugs; upstream_status=accepted; general=upstream commit ID: a34ffec8af8f, tag: v5.11-rc7;
Change-Id=Ib081ca7ddf24afe3ff452e557e785f4519162dd9; subject=net/mlx5e: don't release skb in case of sflow or internal port offload; feature=mlx5_asap_bugs; upstream_status=in_progress; general=;
Change-Id=I39e976d85cd6d5fc7c0dfc7e17cb385fdc2fbec4; subject=net/mlx5: Allow block unbind in case netdevice not present; feature=uplink_rep_redesign; upstream_status=in_progress; general=;
Change-Id=I1d10e875fff2ab033df3daf69ddb18d7efce299a; subject=net/mlx5e: Reduce tc unsupported key print level; feature=mlx5_asap_bugs; upstream_status=accepted; general=upstream commit ID: 48470a90a42a, tag: v5.11-rc6;
Change-Id=I6391726c2034278412c0214b26dea861b1af77a0; subject=fixup! net/mlx5e: E-switch, Fix rate calculation for overflow; feature=mlx5_asap_bugs; upstream_status=in_progress; general=;
Change-Id=I21c930f6a37c74faac07e0409723c3e41c5988b5; subject=net/mlx5e: E-Switch, restore default vlan protocol on SRIOV cleanup; feature=mlx5_qinq_vst; upstream_status=NA; general=;
Change-Id=Iaf8d306690703a1e44a5b484df701e72def54d77; subject=net/mlx5e: Disable shared rq feature for now; feature=mlx5e_shared_rq; upstream_status=ignore; general=;
Change-Id=I7132373a4f5f5eea8b26110a40b03cd5faa4650c; subject=net/mlx5e: Create PET flow tables with reformat_en flag; feature=mlx5e_shared_rq; upstream_status=in_progress; general=;
Change-Id=I9687b3222169bd7b92901324bfc8fb5fb751770d; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I87c24d3b9e12c3cba8dd7a2c9c3fc76f16f87639; subject=BACKPORTS: Fix backport; feature=backports; upstream_status=ignore; general=;
Change-Id=I90a025f69c73e5bfc22b893e733072d125ac5519; subject=net/mlx5e: Don't match on Geneve options in case option masks are all zero; feature=mlx5_asap_bugs; upstream_status=in_progress; general=;
Change-Id=I752ba5d58bce42c94da4433f2b4a69afe25818e7; subject=BACKPORT: fix backport; feature=backports; upstream_status=ignore; general=;
Change-Id=Id9a2042f7e4278822d7616dd525a5b3546f1e4a7; subject=net/mlx5: E-switch, Create vport miss group only if src rewrite is supported; feature=mlx5_asap_bugs; upstream_status=in_progress; general=;
Change-Id=I342b84f123b594f5d19c1150b28de335353513ac; subject=net/mlx5e: Disable hw-tc-offload when MLX5_CLS_ACT config is disabled; feature=rebase; upstream_status=accepted; general=tag: v5.11;
Change-Id=I7a208bb0c6bf89fa59ff8fca5055d3a870ebc502; subject=net/mlx5e: fix compare geneve encap in case options doesn't exist; feature=mlx5_asap_bugs; upstream_status=in_progress; general=;
