sep=;
Change-Id=Ie2d81e9c0db6ac58f7a56e0ad1aa6cd92a9781d9; subject=net/mlx5: E-Switch, Add sysfs to set minimum tx rate on PF; feature=mlx5_core_sriov_pf_tx_rate; upstream_status=in_progress; general=;
Change-Id=I48881c922242156e43c05b14bdd061aabd6655c6; subject=ib/mlx5: When in switchdev mode don't users of mlx5 debugfs root; feature=mlx5_ib_reps; upstream_status=in_progress; general=;
Change-Id=I889603e7706f7973e51048c0b22ea8d22fd00be8; subject=ib/mlx5: When in switchdev mode, expose only raw packet capabilities; feature=mlx5_ib_reps; upstream_status=in_progress; general=;
Change-Id=I4decdfc2d288e317e14225e9319018a9ab5eb231; subject=IB/mlx5: Add TTL global value sysfs; feature=mlx5_set_ttl; upstream_status=NA; general=;
Change-Id=Ia48f42cf491aafbae466ee94e69c444e625d736a; subject=net/mlx5: Fix RoCE lag destruction; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I46e8bd560b1add934e4888f02965fd638cef8c41; subject=IB/core: Add retries to the API of all send_mad functions; feature=send_mad_retries; upstream_status=in_progress; general=;
Change-Id=I10e03f9ce2fad129a8cbe6582861dc6c3b22a0c3; subject=net/mlx5: E-Switch, Add match on vhca id to default send rules; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I03fcc93227886ce45c8a18fcdaedf9a67331f6d0; subject=net/mlx5: E-Switch, Refactor setting source port; feature=mlx5_single_fdb_lag; upstream_status=accepted; general=upstream commit ID: b055ecf5827d, tag: v5.12-rc1;
Change-Id=Id5d02fb294ada4187ef41042f2a4c9ba4f84c74f; subject=net/mlx5: E-Switch, Use metadata on default send to vport rules; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I3770cb9c6268ec33339f6cc57b298f412066ae3b; subject=net/mlx5: E-Switch, Add eswitch pointer to each rep; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I7ca5f575f38d77acaad771db9306322d73bda414; subject=RDMA/mlx5: Use rep esw when getting netdev and metadata; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Ib13090446ffca7dfacec6b9f603869f02c21b96b; subject=net/mlx5: E-Switch, Add event callback for representors; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I4acc461dd7a1ec54826f7089ce456b646d1bcc02; subject=net/mlx5: Enable/disable lag in state transition; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I45c75a3afed662f57992c379fd854f49fc590f75; subject=net/mlx5: Export function that tells if device is the lag master; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I05676c57c13fc31855ce92a703542e5d5d011458; subject=RDMA/uverbs: set 64 bit flags; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I96d2222f77ba81ebbccb8a32d8d910efd4452cd2; subject=BACKPORTS; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Iddaa055bc3e5090354763dcab675b6017ed960c8; subject=net/mlx5: Add IFC bits for single FDB mode; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I28890b56d45b9b373ec0a148efe86b623023a93d; subject=net/mlx5: E-Switch, Refactor send to vport to be more generic; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I826fb20ffcdf647c12fa8457be47c0addde1e235; subject=net/mlx5: Add send to vport rules on paired device; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I02e47e0f63e80a8938313ec5a5a394de8e07350b; subject=net/mlx5: E-Switch, base logic for single FDB; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I24cda925be11bf00df7f5be9f21caca61d8b3710; subject=net/mlx5: Update FDB root in single FDB; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Ib9621a4200c8512f5b4498dd6ebdb3d36fca9dc7; subject=net/mlx5: Add core lag single fdb logic; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I25f02af3d08ceee5ec277f467184dc4226d9aafc; subject=net/mlx5: Make sure we add/remove lag with proper locking; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I11c2df1ae33503a19d194c6c28a15445f2d3df42; subject=net/mlx5: Manage ldev with kref; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Ib3d69e43c611f8023c3b224c64418626228a54e0; subject=RDMA/mlx5: Add single FDB IB device support; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Ibc87ef1371fecd5683a3c0cddb316b3849a091de; subject=RDMA/mlx5: Add devx query IB port; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I815947aa7672af816593d31a2deaff5737f4add5; subject=net/mlx5e: Build tc to tx mapping; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I4e83253f636cf7f125db28385cfd23b7d67c2153; subject=net/mlx5: Make sure we put ldev even if lag is active; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I32aef31466848ab2b28871f41cd9b9d51149044d; subject=RDMA/mlx5; Fix IB rep to IB device port mapping; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I2fa69605f1cd2b1c268c7d80aa0eae1a70c2629d; subject=net/mlx5: Remove IB devices when lag is destroyed; feature=mlx5_single_fdb_lag; upstream_status=NA; general=;
Change-Id=I5f84cdfd3640079b6413760bb44e01a69db4e646; subject=net/mlx5: Make sure we operate over the correct ldev; feature=mlx5_single_fdb_lag; upstream_status=NA; general=;
Change-Id=I367cc9bc230c41d71310494569c494c021e9cbb4; subject=RDMA/mlx5: Unregister peer device when unloaded; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=If90a21a94aa193862fc8b4da4edcc2cfd665eddb; subject=net/mlx5: E-Switch, fix reload interfaces order; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Ieb76d8ca326edc1930a4771a83bd320e426fc285; subject=net/mlx5: lag, Verify lag mode change is correct; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I43ad9cb3a58b190a5530cc96f98b650289ce34dc; subject=net/mlx5: lag, Update ESW one at a time; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Ie319b85ee87514d5ecb274673ed1ff18691829f8; subject=net/mlx5: Allocate LAG device structure on core device creation; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I0d676210d640f502222532a5f3440da82bd48ed7; subject=RDMA/mlx5: Follow bond events on single FDB lag; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I97c0b03d72605dca496933918390f058032268ef; subject=RDMA/mlx5: Fix unload of slave IB reps in single fdb; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I5e980bebfb114327f6139d2d5af1a432bacf7f4d; subject=net/mlx5: E-Switch, refactor mode checking; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I69f98f490d35ba38b7335d8991c99d28e31d513e; subject=net/mlx5: Add Single lag support to BlueField; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I93a19fe2345a0d1efe8157925b718330e184a7d7; subject=net/mlx5: Fix flow table chaining by fs core; feature=mlx5_ipsec_full; upstream_status=in_progress; general=;
Change-Id=Ifa50a6cd6d0d9342d84b830299799f00e7397767; subject=RDMA/mlx5: Return correct ICM address from dev query port; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Ic2dc91a34a2e99a3aa1d9282ae6d350cd3f6ce18; subject=mlx5: Do nothing in case of probed VF; feature=vf_startup; upstream_status=NA; general=;
Change-Id=I07087d90fa0e2882a94985939af6287d033d7909; subject=net/mlx5: Reload SF representor after move to single FDB mode; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Ib9031b5fc7ea6eb24d725e748066d45ffab4f547; subject=net/mlx5: Load all IB reps not only uplink in single FDB mode; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Ic8b68da5659b85c621666fda9f9baf884fd291ec; subject=RDMA/mlx5: Create vport lag when in single FDB mode; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I77eda3bd4f43be4bbfed7f0812a351ed2d14841b; subject=net/mlx5: Move egress ACL cleanup into a single location; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Ia22be08ff6cfd8d4d8fbc0e266d32879b948c4ea; subject=RDMA: Support more than 255 rdma ports; feature=255_ports_ib_core; upstream_status=in_progress; general=;
Change-Id=Ic2a9223c588ee95271b81abfac1807631020a6cd; subject=RDMA/mlx5: Remove 255 ports limitation from representors; feature=255_ports_ib_core; upstream_status=in_progress; general=;
Change-Id=I002666e9d87b351ec98cf877e1627abe0ebb58b7; subject=BACKPORTS; feature=backports; upstream_status=ignore; general=;
Change-Id=Ib398cef574b32b55833b4ed63fc5046b31798263; subject=RDMA/mlx5: Fix wrong free of blue flame register on error; feature=rebase; upstream_status=accepted; general=tag: v5.11-rc6;
