sep=;
Change-Id=I29522156546593d99cc22bb78dd92ceb535d4f76; subject=IB/core: Add new SRQ type IB_EXP_SRQT_NVMF; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ia05627e993314b93f4e2d96ee8e97a8d9b484679; subject=net/mlx5: mlx5_ifc updates for nvmf offload; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I0141b9b50c6eefbfca5fdb3387f0995114d119fd; subject=net/mlx5: Introduce NVMEoF target offload HW capabilities; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Iffbf850c660e0687a9bc975c538618eb28a26b07; subject=IB/core: Introduce NVMEoF offload capabilities; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ia3e09443785551ebd88ac41ad87fb3746d041caa; subject=IB/core: Add IB_QP_OFFLOAD_TYPE to qp_attr; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I3a4fed6f9f10c2d3393cb62e76767b52ca3ee181; subject=IB/mlx5: Add offload_type support to modify_qp; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I89d649a2416004f0dcb1a6ab49c1beb79f5d1f88; subject=IB/mlx5: Fill NVMEoF offload capabilities; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ib6b2e14447a5b95289807effb9748643174a87ea; subject=net/mlx5: Add NVMf offload attributes to SRQ API; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I5cd8a40e65d2d3a1ea18071b8377de5aae253ca1; subject=net/mlx5: Add NVMEoF offload type for XRQ object; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I63313245b52c4cf333128051a4b24296d5e91e11; subject=IB/mlx5: support IB_EXP_SRQT_NVMF; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ifabb160c92223ffbbc9f8a1dac8e4273cdc09722; subject=net/mlx5: Implement NVMEoF offload cmds from PRM; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I3b835bc08c5595bfd0b021f538b33a3ed3757ddd; subject=IB/core: Introduce new commands for NVMEoF target offload; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ieca52f491feb57c68a3b3192a22e6ce08de2a3a5; subject=IB/mlx5: implement new NVMEoF offload PRM commands; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I904948d38ef1bb5d9987027b02da1369f14c3cb1; subject=nvme: add module param for peer to peer I/O; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I8bb9fa6ab4bd48922b46ad162ad1f829595eeb01; subject=nvme: save physical address of pci resources; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ic9927360f648f43dd12e759ee4cd53b9ae542932; subject=nvme: introduce nvme-peer header for future pci peering; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I663770f2c572f874dddb3092491ca74bddde0541; subject=nvme: introduce nvme_pdev_is_bdev; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ic4bb5737c434e6726b6c0aec538bdf9977ff45a1; subject=nvmet: add peer_to_peer_capable query for transport ops; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ifc298718337171acdd04d89b0f87b0ec58561ac6; subject=nvmet: Add create/destroy_offload_ctrl for transport ops; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I793735da5fce5aa09224d457da4742bfbf3dc74d; subject=nvmet: add p2p offload entry; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I241225d9d20c1453b32507763a91c796e8b59996; subject=nvmet: add offloadble polarity to ns and subsys; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I44ac9a29cec5cdc7144bc833f629ce255df17d2c; subject=nvmet: add offload polarity to nvmet port; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I83ef9ad21638a6b3c75da3ffc6efdb105b8dbc3e; subject=nvmet: set mdts for offload port; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I3c7ab3c4e28f74dbef2b17b1cc9232e6088002b6; subject=nvmet-rdma: add 3 module params for P2P data transfer; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I4c0cf6064c2e4ab542f30cc52c4141b93ad7649b; subject=nvmet-rdma: add I/O offload using P2P to rdma target; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Iebfc4b87eae7e36e159012c244237f0c799d919b; subject=RDMA/cma: set min_rnr_timer throgh rdma_cm_conn_param; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ia0c87c8b6432d47042d9ffc96135dd0696194f77; subject=nvmet-rdma: set min_rnr_timer to 0.01 msec; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I980593810f5f4413a688f09e44cc0de29929f9c7; subject=nvmet: add functionality for create/destroy offload ctrl; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I6fad536e22e1e2d6bba7aee6f5f5f910ffed2bfa; subject=nvmet-rdma: introduce rdma_offload.{h/c} files; feature=nvmf_offload; upstream_status=in_progress; general=;
