sep=;
Change-Id=If384814bff790b004b382413f259638677654b1f; subject=net/mlx5e: Use RCU to protect rq->xdp_prog; feature=mlx5_en_bugs; upstream_status=accepted; general=upstream commit ID: fe45386a2082, tag: v5.9-rc7;
Change-Id=I4fc2586bc767ed792cfad23def7fc47528815851; subject=net/mlx5e: Use synchronize_rcu to sync with NAPI; feature=mlx5_en_bugs; upstream_status=accepted; general=upstream commit ID: 9c25a22dfb00, tag: v5.9-rc7;
Change-Id=Ib2b2df4c7f7bea0873506a251e04acefbc4e61ba; subject=net/mlx5e: Refactor inline header size calculation in the TX path; feature=mpwqe_non_xdp; upstream_status=accepted; general=tag: v5.10-rc1;
Change-Id=If27b6f7d7b4dbcb515af8efca431ae6357d243e7; subject=net/mlx5e: Use struct assignment to initialize mlx5e_tx_wqe_info; feature=mpwqe_non_xdp; upstream_status=accepted; general=tag: v5.10-rc1;
Change-Id=I38cbfb945c5407804327b911032a1a71e4e26faf; subject=net/mlx5e: Move mlx5e_tx_wqe_inline_mode to en_tx.c; feature=mpwqe_non_xdp; upstream_status=accepted; general=tag: v5.10-rc1;
Change-Id=I2817342953e6ddd44b3fc7e15a3671e33bc06e34; subject=net/mlx5e: Refactor xmit functions; feature=mpwqe_non_xdp; upstream_status=accepted; general=tag: v5.10-rc1;
Change-Id=Ie5a7ed48dc98157840240fda8dc4b7010af61816; subject=net/mlx5e: Small improvements for XDP TX MPWQE logic; feature=mpwqe_non_xdp; upstream_status=accepted; general=tag: v5.10-rc1;
Change-Id=I114b6ec3b52e5e398315019f426535d2b195799c; subject=net/mlx5e: Unify constants for WQE_EMPTY_DS_COUNT; feature=mpwqe_non_xdp; upstream_status=accepted; general=tag: v5.10-rc1;
Change-Id=If00420ce661ad9e8d72670600e3598a69fa6fa71; subject=net/mlx5e: Move the TLS resync check out of the function; feature=mpwqe_non_xdp; upstream_status=accepted; general=tag: v5.10-rc1;
Change-Id=If98247c87baf1cb43a155fd95273a2aa284844af; subject=net/mlx5e: Support multiple SKBs in a TX WQE; feature=mpwqe_non_xdp; upstream_status=accepted; general=tag: v5.10-rc1;
Change-Id=I7fbd190754151658479f888653382ab56e5f169e; subject=net/mlx5e: Generalize TX MPWQE checks for full session; feature=mpwqe_non_xdp; upstream_status=accepted; general=tag: v5.10-rc1;
Change-Id=Ia405ec810677595d58e9eb0b0d39afe4204dff74; subject=net/mlx5e: Rename xmit-related structs to generalize them; feature=mpwqe_non_xdp; upstream_status=accepted; general=tag: v5.10-rc1;
Change-Id=I8d1e5827e45d7d8081ca0fadaf4bb84fec1bfcb9; subject=net/mlx5e: Move TX code into functions to be used by MPWQE; feature=mpwqe_non_xdp; upstream_status=accepted; general=tag: v5.10-rc1;
Change-Id=I2e0211fc5c5cf308954c16fa338395da52383fee; subject=net/mlx5e: Enhanced TX MPWQE for SKBs; feature=mpwqe_non_xdp; upstream_status=accepted; general=tag: v5.10-rc1;
Change-Id=Ib048d494b2ccbb539058957c0fd6f1e4f952186a; subject=net/mlx5e: Use spin_lock_bh for async_icosq_lock; feature=rebase; upstream_status=accepted; general=tag: 5.10-rc7;
Change-Id=I748b909e11a60cdc2c4063490787f173200ec1e6; subject=net/mlx5e: Fix incorrect access of RCU-protected xdp_prog; feature=rebase; upstream_status=accepted; general=tag: 5.10-rc7;
Change-Id=I9f959df21ef9ad187d08f57fa629fd29a2977768; subject=net/mlx5e: Correctly handle changing the number of queues when the interface is down; feature=rebase; upstream_status=accepted; general=tag: v5.11-rc6;
Change-Id=Ic6b7cb56bd6fe4fb341ebc8c3245c2c9cd361bd7; subject=net/mlx5e: Revert parameters on errors when changing trust state without reset; feature=rebase; upstream_status=accepted; general=tag: v5.11-rc6;
Change-Id=I7b7d26c99055d64d42de50b011e3a6fbd171b04d; subject=net/mlx5e: Revert parameters on errors when changing MTU and LRO state without reset; feature=rebase; upstream_status=accepted; general=tag: v5.11-rc6;
Change-Id=Id9c3a303db5ac1d20873caa3eee4fc84f3942b63; subject=net/mlx5e: Update max_opened_tc also when channels are closed; feature=rebase; upstream_status=accepted; general=tag: v5.11-rc6;
