sep=;
Change-Id=Ia9489030f9608d92cd65581b0eeb143fe595be16; subject=net/mlx5: Use num_vfs from PCI core; feature=sriov_sysfs; upstream_status=NA; general=;
Change-Id=I5f6c84b4339ff03c99f3b87ddce809f4e4577518; subject=IB/ipoib: Allow setting mac address for the VF; feature=ipoib_bugs_in_review; upstream_status=NA; general=;
Change-Id=I5b82de025824e5bf24d26d1246608e47da8f2b8a; subject=IB/core: Make ib_nl_ip_send_msg() non blocking; feature=ib_core_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=Ic162601fa5bbce864d1ae05f5fe17fd93a25ffad; subject=IB/core: Introduce rdma_is_gid_attr_valid() to check GID attribute; feature=ib_core_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=Ib3f31f528fa14e2e054faccc6b8be7a4c1f0cffa; subject=RDMA/core: Validate net ns of RoCE gid and gid attribute sysfs entries; feature=ib_core_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=I174b2c0f35f278f0c98d850097f3804c0e390011; subject=IB/core: Validate net ns of RoCE gid during destination resolve; feature=ib_core_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=I951aaeeabc0a966a17d129d37b40958fa39ef487; subject=RDMA/core: Rescan netdev to add IP based GIDs; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=I3955098d099c1e48dd3bd7923f3e6cb6662b7247; subject=IB/core: Introduce and honor bond_device flag; feature=ib_core_bugs_in_review; upstream_status=NA; general=;
Change-Id=I6f769128b981e4e784b582f69d3b038de6cc3553; subject=IB/mlx5: Expose rdma bond device; feature=ib_core_bugs_in_review; upstream_status=NA; general=;
Change-Id=I837b288c8b2d47e65b198e7cc4dc280f9e5a8f33; subject=net/mlx5: Treat host PF vport as other (non eswitch manager) vport; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: 617b860c1875, tag: v5.11-rc1;
Change-Id=I4f5983574fce85cb52092bedbabba94573f58bdf; subject=net/mlx5: Consider non eswitch manager mode; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=Ib48946d3f2547b47bdcd66c036c6230333956c74; subject=net/mlx5: Update rep state after loading the rep; feature=mlx5_asap_bugs_in_review; upstream_status=in_progress; general=;
