sep=;
Change-Id=Id57f4bec985bfb810b020d430023dc057feb172a; subject=net/mlx5e: block devlink reload in switchdev mode; feature=mlx5_devlink_port; upstream_status=NA; general=;
Change-Id=Icec2afb15268b856dc2f17ecec667a91f7e10912; subject=net/mlx5e: Add missing eswitch check; feature=mlx5_devlink_port; upstream_status=NA; general=;
Change-Id=I65f4ee10e46ce172e267dff78b8070c45ecc5111; subject=net/mlx5e: CT: Add debugfs rx dropped counter; feature=ct_mt; upstream_status=NA; general=;
Change-Id=I088df6fbc81e194f6275546bee0b9f4b9749bab9; subject=net/mlx5e: CT: Incr/decr ct offloads counter after 2 entries; feature=ct_mt; upstream_status=NA; general=;
Change-Id=Ia4c054b5b81bf8c253f8600143d64b82bafaf0f1; subject=net/mlx5e: Remove redudant WARN_ON() calls; feature=ct_mt; upstream_status=in_progress; general=;
Change-Id=If10d7fcc76b9d58eaa8d6e53ea1e6307888545e6; subject=net/mlx5e: CT: Fix freeing ct_label mapping; feature=ct_mt; upstream_status=accepted; general=upstream commit ID: 4c8594adb9d9, tag: v5.9-rc7;
Change-Id=I2792a526f1916299108b4fc46cd20180ff57f0b7; subject=net/mlx5e: Allow legacy vf ndos only if in legacy mode; feature=uplink_rep_redesign; upstream_status=in_progress; general=;
Change-Id=I4a4ee60ae9d9d60ded61c9f18d3506b67106ff16; subject=net/mlx5e: Distinguish nic and esw offload in tc setup block cb; feature=uplink_rep_redesign; upstream_status=in_progress; general=;
Change-Id=I5b2881323981a27b5ce70a1ef67a2853e2c83f49; subject=net/mlx5e: Do not support setting vf vlan in switchdev mode; feature=uplink_rep_redesign; upstream_status=in_progress; general=;
Change-Id=I90c514eb641777251286f45e300575999e915785; subject=net/mlx5e: Do not support set vf link state in switchdev mode; feature=uplink_rep_redesign; upstream_status=in_progress; general=;
Change-Id=I316ad41965dd46c9aa072dc0c6a4892463868740; subject=net/mlx5e: Add offload stats ndos to nic netdev ops; feature=uplink_rep_redesign; upstream_status=in_progress; general=;
Change-Id=Ia2b8fce460a9a6b641fdd5d567740ddc02178da1; subject=net/mlx5e: Don't set rx mode for uplink representor; feature=uplink_rep_redesign; upstream_status=in_progress; general=;
