sep=;
Change-Id=I283d3e4cc8d2b3128650863b3d24d7e9eaf57be4; subject=deb: install python modules to dist-packages; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I6773c8cb31359d6bf2f990d271c8fa8a0c6f9bbe; subject=init: enable LSB init comments on later Eulers; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Ia360a6f84951859b1f632306c529047aaa93592e; subject=Simplify test for python3 in spec; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I4f6a958e2891e4a9ad5ef82e18d9b1fd68564454; subject=spec: Enable openibd for Euler systems as well; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I0eee5faf3a4d03ae0b73c4911dedd86f35f2e80b; subject=Support building KMP on EulerOS2SP9 / OpenEuler; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I5027a5914601561b32ac4ec3837ff7a0e2438d4d; subject=Don't create empty /usr/src/mlnx-ofa_kernel/default; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I991a88ff831ab20ac96e10c0bcb25cf10278893b; subject=rename CONFIG_VFIO_MDEV to CONFIG_MLNX_VFIO_MDEV; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I75f4f135c849b09fdf1ad175a7084b6a8cee6629; subject=configure: use newer inbox mdev for mlx5; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I690a69dcd5a7c04f4423b6386775b26953b67e10; subject=configure: Check for mdev in inbox RHEL8 kernel; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Idf2621cdf59caae5d766969482ddd1876732e120; subject=configure: Set KSRC_OBJ earlier; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Ie41778a6a9f080accaef1025e37a0481451bd65b; subject=Enable --with-mdev for RHEL7 (>= 7.4), bionic, stretch; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I31c0e84c01edc0ea12809b587c7a18000c6d15f2; subject=configure: detect SLES15 systems' kernel path; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I5b190e9abdb5c2bf543b56cc38e096a7beeaee3a; subject=configure: Enable auxiliary bus by default; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I5b52ef4bfb8fc549858660ac3b94b25d459f7051; subject=90-ib.rules: a single copy for systemd or not; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I4fd1a1bf2afaf330eef88857e7eefda604821843; subject=openibd.service: avoid waiting for sysinit.target; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I66acf196c8ec12003c55893bfffef5e126ba8639; subject=Install systemd services even on non-systemd systems; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I1a778cde849baf6821e12071ccdf959881d42b47; subject=Update metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I23c8330e10b518f74ba7e017cbd29dd5dcc37f71; subject=nfsrdma: pass config option for gds; feature=ofed_scripts; upstream_status=ignore; general=;
