sep=;
Change-Id=I029814aa4a51486fe100377b6ace85c89c8b9da7; subject=Initial commit; feature=rebase; upstream_status=ignore; general=;
Change-Id=I65ed9fbba20a4a859aaef770a23941762c512b82; subject=Set base code to Linux v5.9_rc2; feature=rebase; upstream_status=ignore; general=;
Change-Id=Ifb9721deb485c7e08dcb85b5d82906a30709dff5; subject=Add dummy modules and standalone packages; feature=rebase; upstream_status=ignore; general=;
Change-Id=If3919c55a92ef297144d01853b8469814b0720a7; subject=metadata: Initial MD; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I29374e5d3436a5710e6087efcff4894e6e21570f; subject=REBASE: Allow NVMF,ESWITCH build; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I8c94d83c93837d6afb1b18e57dda77a6ba45c9cb; subject=REBASE: Memrtrack CI tests fix; feature=rebase; upstream_status=NA; general=;
Change-Id=I3e9f3dbd7e8f089f9104432b37f39d03e761e1d1; subject=REBASE: nvmf add required files; feature=nvmf_offload; upstream_status=NA; general=;
Change-Id=I8d28e6a1e7babbff43a481f94032d3228f2f4999; subject=IB/ipoib: Add TX timeout recovery functionality; feature=ipoib_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=I20fc2ab61b460f7c87a32b3dceb3507a8cf4d74a; subject=net/mlx5e: IPoIB, Don't use netdev_priv when link type is IB; feature=ipoib_bugs_in_review; upstream_status=NA; general=;
Change-Id=Iccbd157de482aa74bea0e96b324fb2fe7328c535; subject=REBASE: add extened files to keep OFED features code; feature=rebase; upstream_status=NA; general=;
Change-Id=I655d987567378048b1df6d16040169c1053a5237; subject=net/mlx5: Fixes as a result of single_fdb_lag rebase; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I6207815f1fdcfb18daf8f3e738643c874a373f8d; subject=net/mlx5: Remove C-IB from kernel and userspace; feature=depricated_nics; upstream_status=NA; general=;
Change-Id=I0319ebda842e8fa5e7d30b62a2f7ba08bb51d7ea; subject=Fix: replace path to compat/config.h; feature=rebase; upstream_status=ignore; general=;
Change-Id=Ie4f2f577abb382695b33ae12cb43a78212d74a28; subject=REBASE: Fix remove redundant build files; feature=rebase; upstream_status=ignore; general=;
Change-Id=I5566608dabef21743afeb062350dfca5c84503e4; subject=REBASE: Add missing compat files; feature=backports; upstream_status=ignore; general=;
Change-Id=I145c8ab73e0a4e63c253eb6744fd928c26f65984; subject=BACKPORTS: IB_CORE + Apply all backports; feature=backports; upstream_status=ignore; general=;
Change-Id=Id219751c8c6470441adc22878d11c06ce9d54709; subject=BACKPORTS: MLX5_MOD; feature=backports; upstream_status=ignore; general=;
Change-Id=I398390922b703579a9d714ca1a4016b36a8ee780; subject=BACKPORTS: ESWITCH_BACKPORT; feature=backports; upstream_status=ignore; general=;
Change-Id=Ie2c2e31d40ced4fc17d1f3f759906ebb3bcf7a55; subject=ofed_scripts: Innova IPsec support; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Iba7c7c237349e5a01dc72ebe34a3f1489a92ad09; subject=BACKPORTS: fix backports apply after mlx5_sfs feature; feature=backports; upstream_status=ignore; general=;
Change-Id=I62ad9f295eb7d060d25f137f531a6f5c0d82c590; subject=ofed_scripts: Control all packages from configure instead of json; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I1290090814e4a02fa6607160fea2d2f7c24b7d41; subject=ofed_scripts: Control build nvmf packages from configure; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I9b581a06d9dc28d4d6aa4677b369dd2f964c9b98; subject=ofed_scripts: Control build nfsrdma package from configure; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I0edef33b74ad575f7633eeaedcc564ea99bda8bd; subject=ofed_scripts: configure for mdev form 4.9; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I3a8a54ab12f40daf7480b8e48e4d358649906c09; subject=ofed_scripts: add meddev support to UBUNTU 16.04; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Id802af9d79bd51b7c33984c72d2fd3e1f2b646e2; subject=net/mlx5: Add devlink param enable_remote_dev_reset support; feature=sub_1_sec_fw_upgrade; upstream_status=accepted; general=upstream commit ID: b4f7cbb3671b, tag: v5.10-rc1;
Change-Id=I9da61ad473c579b36858ff50ab2cd253baa4b113; subject=MEMTRACK: on new aarch64 _iounamp not exists; feature=backports; upstream_status=ignore; general=;
Change-Id=I7d6497ae70f79a6695c80eeefb9700618d6aa6a3; subject=OFED_SCRIPTS: Add mdev compilation for Ubuntu 16.04.6 LTS; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I27e85a530417c5f11d66cd89cf8850bebead67db; subject=OFED_SCRIPTS: prevent loading fpga_tools module; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I6fea195134376c4725777700d2e71c1c25e020c3; subject=add_metadata: Create tag when using --ref-db; feature=ofed_scripts; upstream_status=ignore; general=;
