sep=;
Change-Id=I9fd9accf4d19afe2a30b8e6a4bf2d2c1761c5a7f; subject=net/mlx5: FPGA, fix compilation warnings in sdk.c; feature=fpga; upstream_status=ignore; general=;
Change-Id=I2e3de3bb20afaa5010432cb83566379d9b6fa228; subject=net/mlx5: DR, Check device state when polling CQ or doing postsend; feature=sw_steering; upstream_status=NA; general=;
Change-Id=I93cfc311b88098769575c42d067e9c225d844b1b; subject=net/mlx5: Don't do fast_unload for PFs with SMFS; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ib4eaa2f085651d78ab0a2d86c2ddd693c24e01ee; subject=net/mlx5: DR, Handle ICM memory via buddy allocation; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I14a45547c9a2ed862d2b9adc2ec880d3abdd71ad; subject=net/mlx5: Add flow-table entry match on inner/outer ESP SPI; feature=mlx5_ipsec; upstream_status=in_progress; general=;
Change-Id=I5635f5850ce880fda06389c7ef4b234fa8a1d179; subject=net/mlx5: Add flow-table entry match on outer_emd_tag and its data; feature=mlx5_ipsec; upstream_status=in_progress; general=;
Change-Id=Ifd599a6b980213421e51d1cd696414c38d3a3969; subject=net/mlx5: DR, Replace the check for valid STE entry; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: 97ffd895fe9c, tag: v5.10-rc1;
Change-Id=Id435d5d97091f5daf1ccf516bd95bdc50d933958; subject=net/mlx5: DR, Call ste_builder directly with tag pointer; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: e6b69bf379b2, tag: v5.10-rc1;
Change-Id=I1e7daaa1f60b2235a21d5af51dd8ed418a5adf1b; subject=net/mlx5: Add mlx5_ifc bits for steering_format_version; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ic01a597a89cce6493a276fffe6971f442f8e81c9; subject=net/mlx5: DR, Query sw_owner_v2 and sw_format_version; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I83bb7e47a591fb8d4fa4b959edc7d9568923a4f8; subject=net/mlx5: DR, Remove unneeded check from source port builder; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: 38a5c59d7ed0, tag: v5.10-rc1;
