sep=;
Change-Id=I50d77c975fbc4423f51851ddf6e6713268aa5500; subject=mlx5/net: Fix set mac/guid vport 0 check; feature=mlx5_en_bugs_in_review; upstream_status=NA; general=;
Change-Id=Ia792580524c1a8e0c99dbae3a317faa770795fae; subject=net/mlx5e: Add missing query for vport 0; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I4dd8d517ba4f7112323ca15b7db557e2920811e8; subject=net/mlx5: DR, Remove other_vport from query vport caps arguments; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I2470a65a2d5aac9c33c783b40dfc22bc8c024e73; subject=net/mlx5: DR, Call mlx5dr vport enable instead of query vport; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I6f39785dbc7ef658cdbb071312be59e96db0eaf3; subject=net/mlx5: DR, add enable flags to vport caps; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I9937c8ee2598deb601f867a0448347478816ac5e; subject=net/mlx5: Add fs_core callbacks for enable vport; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I831c0aea4b4f6f1f888be6de355c1d02881adae8; subject=net/mlx5: DR, Enable/Disable vports dynamically; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I6df23d6d0d4f5d32e92c35438bf1d36199ba9a72; subject=net/mlx5: DR, Refactor vport query in SW steering; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I646629a65c8838af4e24ca3e588fadff4bba415b; subject=net/mlx5: DR, Add SF support to SW steering; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I42b88e456f0d8cf40f5690eb53247606d1e99dd5; subject=net/mlx5: DR, Fix SW steering rule skip; feature=sw_steering; upstream_status=NA; general=;
Change-Id=I9ce6d48544d2ba8bd2714132e199987359088444; subject=net/mlx5: DR, Warn and ignore SW steering rule insertion on QP err; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I04c5cc350779894532af3cd1b3c08570b8351ed0; subject=net/mlx5e: Adding flow mapping to queues; feature=mlx5e_pp_special_queue; upstream_status=NA; general=;
Change-Id=I744dcb26fcdb38c88d3061af8177a7549db1184f; subject=net/mlx5e: Support addition of special TX queues; feature=mlx5e_pp_special_queue; upstream_status=NA; general=;
Change-Id=I2130cb7b5313727b156a0e1d3f2fa1ad125e1a66; subject=mlx5/core: Get pp rate limit queues based on capability; feature=mlx5e_pp_special_queue; upstream_status=NA; general=;
Change-Id=I2065edd4b0105814a00c60b4ca57ba640987af16; subject=net/mlx5e: Per channel stats to support other queues; feature=mlx5e_pp_special_queue; upstream_status=NA; general=;
Change-Id=I9bfeed5bebef39039eb42ee49ab26267a5936349; subject=net/mlx5e: Align ratelimit feature with upstream code; feature=mlx5e_pp_special_queue; upstream_status=NA; general=;
Change-Id=I125bb373b5bf2d54db59ebece308bed97ba01598; subject=net/mlx5: sysfs for setting PF's max_tx_rate via ECPF; feature=mlx5_devlink_sysfs_interface; upstream_status=NA; general=;
Change-Id=If5a1b48e93c5f574415bdf82cd53895b415cbeb1; subject=net/mlx5: config display and mac sysfs of PF via ECPF; feature=mlx5_devlink_sysfs_interface; upstream_status=NA; general=;
Change-Id=I02ecb5f2cbb50e7fe08210b198968898cda5d124; subject=net/mlx5: Support VF mac and tx_rate conf from ECPF; feature=mlx5_devlink_sysfs_interface; upstream_status=NA; general=;
Change-Id=I261e2f3d1336ceec06211318aec1eb92e37dbcfe; subject=net/mlx5: Host control sysfs backport support; feature=mlx5_devlink_sysfs_interface; upstream_status=NA; general=;
Change-Id=Ic06fb9ed3c3b480079138518297c1143ac141fb8; subject=net/mlx5: Update set hca cap command layout to support regex and other; feature=regex; upstream_status=NA; general=;
Change-Id=Ie672b54e660b4034744e152f80742da7885a9be0; subject=net/mlx5: Add regex enable sysfs from SmartNic; feature=regex; upstream_status=NA; general=;
Change-Id=I4d2f3620d4be3aed69c66d035df9d933908a3890; subject=net/mlx5e: Reapply IRQ rename only for pci owner.; feature=pci_only_irq_rename; upstream_status=rejected; general=;
Change-Id=I8c06d64415de764fa4ac80e23efc052b7df4ca65; subject=net/mlx5: DR, Query VF vports on init; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ibd4237c0de6141eba3583fc139db3883ff7cb068; subject=net/mlx5e: Update host PF mac address on vport enable; feature=mlx5_en_bugs_in_review; upstream_status=in_progress; general=;
