sep=;
name=ofed_scripts; type=scripts; upstream_status=ignore;
name=rebase; type=kernel; upstream_status=NA;
name=backports; type=backports; upstream_status=ignore;
name=ib_core_bugs; type=bug; upstream_status=in_progress;
name=ib_core_bugs_in_review; type=bug; upstream_status=in_progress;
name=ipoib_bugs; type=bug; upstream_status=in_progress;
name=ipoib_bugs_in_review; type=bug; upstream_status=in_progress;
name=mlx5_ib_bugs; type=bug; upstream_status=in_progress;
name=mlx5_ib_bugs_in_review; type=bug; upstream_status=in_progress;
name=mlx5_en_bugs; type=bug; upstream_status=in_progress;
name=mlx5_en_bugs_in_review; type=bug; upstream_status=in_progress;
name=mlx5_en_bugs_decided_to_submit; type=bug; upstream_status=in_progress;
name=mlx5_en_bugs_old_kernel; type=bug; upstream_status=NA;
name=mlx5_core_bugs; type=bug; upstream_status=in_progress;
name=mlx5_core_bugs_in_review; type=bug; upstream_status=in_progress;
name=mlx5_asap_bugs; type=bug; upstream_status=in_progress;
name=mlx5_asap_bugs_in_review; type=bug; upstream_status=in_progress;
name=memtrack_bugs; type=bug; upstream_status=ignore;
name=mr_cache sysfs; type=feature; upstream_status=in_progress;
name=mr_cache release policy; type=feature; upstream_status=in_progress;
name=send_mad_retries; type=Feature; upstream_status=in_progress;
name=sriov_sysfs; type=feature; upstream_status=NA;
name=cmd_if_sysfs; type=feature; upstream_status=NA;
name=mlx5_sysfs_ecn_mstdump; type=feature; upstream_status=NA;
name=special_context; type=feature; upstream_status=NA;
name=peer_direct; type=feature; upstream=rejected;
name=mlx5_vf_roce_sysfs; type=feature; upstream_status=NA;
name=mlx5e_min_inline; type=feature; upstream_status=in_progress;
name=ipoib_cm_prints; type=feature; upstream_status=in_progress;
name=ipoib_neigh_time; type=feature; upstream_status=in_progress;
name=ib_srp_bugs; type=bug; upstream_status=in_progress;
name=ib_srp_bugs_backlog; type=bug; upstream_status=NA;
name=ipoib_napi_tx; type=feature; upstream_status=in_progress;
name=ethtool_ring_size_param; type=feature; upstream_status=in_progress;
name=ipoib_inline; type=feature; upstream_status=in_progress;
name=umem_debug_prints; type=feature; upstream_status=NA;
name=ipoib_arp_snooping; type=feature; upstream_status=in_progress;
name=ipoib_bonding; type=feature; upstream_status=NA;
name=ah_from_wc_noarp; type=bug; upstream_status=in_progress;
name=mlx5_en_page_cache; type=feature; upstream_status=in_progress;
name=mlx5e_fixes_4.10; type=bug; upstream_status=in_progress;
name=ib_iser_bugs; type=bug; upstream_status=in_progress;
name=ib_iser_bugs_backlog; type=bug; upstream_status=NA;
name=mlx5_eeh_save_pci_state; type=bug; upstream_status=in_progress;
name=arm_bf; type=bug; upstream_status=NA;
name=mlx5_eeh_cmd_time_out; type=feature; upstream_status=in_progress;
name=restore_ib_guid; type=feature; upstream_status=in_progress;
name=vf_startup;type=feature;upstream_status=NA;
name=ipoib_offloads_bugs; type=feature; upstream_status=in_progress;
name=ipoib_offloads_bugs_in_review; type=feature; upstream_status=in_progress;
name=link_down_reason; type=feature; upstream_status=in_progress;
name=mlx5_fast_driver_unload; type=feature; upstream_status=in_progress;
name=mlx5_dropless_rq; type=feature; upstream_status=in_progress;
